Severity	Code	Description	Project	File	Line	Suppression State
Warning (active)	CS8618	Non-nullable property 'FromUser' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AssignmentLog.cs	30	
Warning (active)	CS8618	Non-nullable property 'ToUser' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AssignmentLog.cs	32	
Warning (active)	CS8618	Non-nullable property 'EntityName' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AuditTrail.cs	12	
Warning (active)	CS8618	Non-nullable property 'EntityType' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AuditTrail.cs	15	
Warning (active)	CS8618	Non-nullable property 'Action' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AuditTrail.cs	20	
Warning (active)	CS8618	Non-nullable property 'Details' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AuditTrail.cs	28	
Warning (active)	CS8618	Non-nullable property 'OldValues' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AuditTrail.cs	30	
Warning (active)	CS8618	Non-nullable property 'NewValues' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AuditTrail.cs	32	
Warning (active)	CS8618	Non-nullable property 'User' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\AuditTrail.cs	34	
Warning (active)	CS8618	Non-nullable property 'Name' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the property as nullable.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Models\Category.cs	16	
