Severity	Code	Description	Project	File	Line	Suppression State
Error	XDG0008	The name "HexToBrushConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Views\DashboardView.xaml	13	
Error	XDG0008	The name "ViewToVisibilityConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters;assembly=MobileLinesManager".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	10	
Error	XDG0008	The name "StatusToVisibilityConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters;assembly=MobileLinesManager".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	7	
Error	XDG0008	The name "BoolToTextConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters;assembly=MobileLinesManager".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	6	
Error	XDG0008	The name "NullToVisibilityConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters;assembly=MobileLinesManager".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	9	
Error	XDG0008	The name "InverseBoolConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters;assembly=MobileLinesManager".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	8	
Error	XDG0008	The name "BoolToVisibilityConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters;assembly=MobileLinesManager".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	5	
Error	XDG0008	The name "HexToBrushConverter" does not exist in the namespace "clr-namespace:MobileLinesManager.Converters;assembly=MobileLinesManager".	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	4	
Error (active)	MC3074	The tag 'HexToBrushConverter' does not exist in XML namespace 'clr-namespace:MobileLinesManager.Converters;assembly=MobileLinesManager'. Line 4 Position 6.	MobileLinesManager	C:\Users\abdue\source\repos\MobileLinesManager\MobileLinesManager\Resources\Converters.xaml	4	
